,agent,step,test_id,avg_reward,std_reward
0,ia2c,720,-1,-717.3097222222223,325.87231636354915
1,ia2c,1440,-1,-764.5291666666667,344.03590209029545
2,ia2c,2160,-1,-652.725,259.1291118288762
3,ia2c,2880,-1,-730.4541666666667,321.2364707213796
4,ia2c,3600,-1,-676.6194444444444,265.97525398620206
5,ia2c,4320,-1,-670.8527777777778,251.17810854950352
6,ia2c,5040,-1,-734.1972222222222,302.8442302076461
7,ia2c,5760,-1,-714.5097222222222,300.07333347205974
8,ia2c,6480,-1,-745.1597222222222,326.01710212456743
9,ia2c,7200,-1,-656.4847222222222,252.08329705769557
10,ia2c,7920,-1,-701.8694444444444,282.80492326321615
11,ia2c,8640,-1,-784.2583333333333,333.3456371687568
12,ia2c,9360,-1,-702.5611111111111,278.12124482136863
13,ia2c,10080,-1,-737.0222222222222,307.1691572616618
14,ia2c,10800,-1,-718.1736111111111,282.1659659831109
15,ia2c,11520,-1,-741.4833333333333,325.0374247682873
16,ia2c,12240,-1,-747.7236111111112,335.114532657226
17,ia2c,12960,-1,-779.2375,327.1041806254376
18,ia2c,13680,-1,-665.7652777777778,261.3009262749466
19,ia2c,14400,-1,-697.3194444444445,287.60995609355354
20,ia2c,15120,-1,-705.3416666666667,297.1062332221329
21,ia2c,15840,-1,-678.8319444444444,290.5165960675286
22,ia2c,16560,-1,-750.8263888888889,330.2716796202516
23,ia2c,17280,-1,-657.4625,250.48233744423533
24,ia2c,18000,-1,-638.9375,255.32181269565365
25,ia2c,18720,-1,-695.7388888888889,280.00161435822093
26,ia2c,19440,-1,-711.1125,298.0736669933477
27,ia2c,20160,-1,-748.6569444444444,310.3438063603318
28,ia2c,20880,-1,-688.8583333333333,280.245848294156
29,ia2c,21600,-1,-683.2416666666667,290.98802464381777
30,ia2c,22320,-1,-703.1263888888889,290.9451062643641
31,ia2c,23040,-1,-769.7708333333334,345.74863458294703
32,ia2c,23760,-1,-685.4194444444445,272.3356061914992
33,ia2c,24480,-1,-684.6291666666667,267.718176829406
34,ia2c,25200,-1,-662.4819444444445,262.81944521878137
35,ia2c,25920,-1,-743.8361111111111,321.7375108970197
36,ia2c,26640,-1,-707.8597222222222,295.0505155240945
37,ia2c,27360,-1,-693.5125,283.68941322700664
38,ia2c,28080,-1,-638.0777777777778,245.8758823190531
39,ia2c,28800,-1,-648.9027777777778,254.67040571656437
40,ia2c,29520,-1,-730.7444444444444,308.17306865933887
41,ia2c,30240,-1,-765.7791666666667,332.2198734094552
42,ia2c,30960,-1,-624.0361111111112,234.7365635165157
43,ia2c,31680,-1,-643.8791666666667,244.95245708634747
44,ia2c,32400,-1,-665.9375,277.19886610794026
45,ia2c,33120,-1,-684.2611111111111,276.3934265959162
46,ia2c,33840,-1,-683.6305555555556,270.9546798097469
47,ia2c,34560,-1,-686.3611111111111,273.76064695457535
